geneSymbol	diseaseName	diseaseId	DSI	score	tcga
MAP4K3	Squamous cell carcinoma of lung	C0149782	0.711	0.3	LUSC
TRIM24	Squamous cell carcinoma of lung	C0149782	0.581	0.3	LUSC
BMP2K	Squamous cell carcinoma of lung	C0149782	0.792	0.3	LUSC
WNK3	Squamous cell carcinoma of lung	C0149782	0.751	0.3	LUSC
EZH2	Diffuse Large B-Cell Lymphoma	C0079744	0.376	0.7	DLBC
CD79B	Diffuse Large B-Cell Lymphoma	C0079744	0.576	0.6	DLBC
MYD88	Diffuse Large B-Cell Lymphoma	C0079744	0.414	0.6	DLBC
PIK3CD	Diffuse Large B-Cell Lymphoma	C0079744	0.319	0.6	DLBC
CARD11	Diffuse Large B-Cell Lymphoma	C0079744	0.582	0.6	DLBC
CD79A	Diffuse Large B-Cell Lymphoma	C0079744	0.536	0.55	DLBC
ALK	Diffuse Large B-Cell Lymphoma	C0079744	0.396	0.4	DLBC
BCL2	Diffuse Large B-Cell Lymphoma	C0079744	0.291	0.4	DLBC
PRDM1	Diffuse Large B-Cell Lymphoma	C0079744	0.538	0.4	DLBC
CDKN2A	Diffuse Large B-Cell Lymphoma	C0079744	0.3	0.4	DLBC
MYC	Diffuse Large B-Cell Lymphoma	C0079744	0.344	0.4	DLBC
ABCB1	Diffuse Large B-Cell Lymphoma	C0079744	0.344	0.4	DLBC
PIK3CA	Diffuse Large B-Cell Lymphoma	C0079744	0.292	0.4	DLBC
PIK3CB	Diffuse Large B-Cell Lymphoma	C0079744	0.322	0.4	DLBC
PIK3CG	Diffuse Large B-Cell Lymphoma	C0079744	0.32	0.4	DLBC
MALT1	Diffuse Large B-Cell Lymphoma	C0079744	0.532	0.4	DLBC
CD274	Diffuse Large B-Cell Lymphoma	C0079744	0.324	0.4	DLBC
CREBBP	Diffuse Large B-Cell Lymphoma	C0079744	0.428	0.39	DLBC
EP300	Diffuse Large B-Cell Lymphoma	C0079744	0.459	0.39	DLBC
JAK2	Diffuse Large B-Cell Lymphoma	C0079744	0.385	0.38	DLBC
FAS	Diffuse Large B-Cell Lymphoma	C0079744	0.372	0.37	DLBC
B2M	Diffuse Large B-Cell Lymphoma	C0079744	0.447	0.35	DLBC
FOXO1	Diffuse Large B-Cell Lymphoma	C0079744	0.433	0.35	DLBC
GLI1	Diffuse Large B-Cell Lymphoma	C0079744	0.431	0.35	DLBC
KMT2D	Diffuse Large B-Cell Lymphoma	C0079744	0.465	0.34	DLBC
BRCA1	Ovarian Carcinoma	C0029925	0.367	0.5	OV
BRCA2	Ovarian Carcinoma	C0029925	0.379	0.5	OV
STK11	Ovarian Carcinoma	C0029925	0.435	0.5	OV
TP53	Ovarian Carcinoma	C0029925	0.236	0.5	OV
RRAS2	Ovarian Carcinoma	C0029925	0.656	0.5	OV
KRAS	Ovarian Carcinoma	C0029925	0.32	0.47	OV
PTEN	Ovarian Carcinoma	C0029925	0.305	0.46	OV
ERBB2	Ovarian Carcinoma	C0029925	0.328	0.4	OV
ESR1	Ovarian Carcinoma	C0029925	0.324	0.36	OV
PIK3CA	Ovarian Carcinoma	C0029925	0.292	0.36	OV
BRAF	Ovarian Carcinoma	C0029925	0.319	0.34	OV
CTNNB1	Ovarian Carcinoma	C0029925	0.303	0.34	OV
AKT1	Ovarian Carcinoma	C0029925	0.311	0.33	OV
CCNE1	Ovarian Carcinoma	C0029925	0.538	0.33	OV
CDK12	Ovarian Carcinoma	C0029925	0.638	0.33	OV
MLH1	Ovarian Carcinoma	C0029925	0.399	0.32	OV
MSH2	Ovarian Carcinoma	C0029925	0.406	0.32	OV
AKT2	Ovarian Carcinoma	C0029925	0.474	0.31	OV
CDH1	Ovarian Carcinoma	C0029925	0.401	0.31	OV
RNF43	Ovarian Carcinoma	C0029925	0.584	0.31	OV
ATR	Ovarian Carcinoma	C0029925	0.456	0.3	OV
ERCC4	Ovarian Carcinoma	C0029925	0.468	0.3	OV
ERCC6	Ovarian Carcinoma	C0029925	0.507	0.3	OV
MSH6	Ovarian Carcinoma	C0029925	0.462	0.3	OV
OPCML	Ovarian Carcinoma	C0029925	0.606	0.3	OV
BRCA1	Adenocarcinoma of pancreas	C0281361	0.367	0.2	PAAD
BRCA2	Adenocarcinoma of pancreas	C0281361	0.379	0.2	PAAD
CDKN2A	Adenocarcinoma of pancreas	C0281361	0.3	0.2	PAAD
KRAS	Adenocarcinoma of pancreas	C0281361	0.32	0.2	PAAD
SMAD4	Adenocarcinoma of pancreas	C0281361	0.401	0.2	PAAD
TP53	Adenocarcinoma of pancreas	C0281361	0.236	0.2	PAAD
ERBB2	Adenocarcinoma of pancreas	C0281361	0.328	0.15	PAAD
PIK3CA	Adenocarcinoma of pancreas	C0281361	0.292	0.13	PAAD
CTNNB1	Adenocarcinoma of pancreas	C0281361	0.303	0.12	PAAD
HRAS	Adenocarcinoma of pancreas	C0281361	0.378	0.12	PAAD
PALB2	Adenocarcinoma of pancreas	C0281361	0.485	0.12	PAAD
EPCAM	Adenocarcinoma of pancreas	C0281361	0.451	0.11	PAAD
STK11	Adenocarcinoma of pancreas	C0281361	0.435	0.11	PAAD
TGFBR2	Adenocarcinoma of pancreas	C0281361	0.413	0.11	PAAD
RNF43	Adenocarcinoma of pancreas	C0281361	0.584	0.11	PAAD
BMPR1A	Adenocarcinoma of pancreas	C0281361	0.522	0.1	PAAD
GNAS	Adenocarcinoma of pancreas	C0281361	0.42	0.1	PAAD
MSH6	Adenocarcinoma of pancreas	C0281361	0.462	0.1	PAAD
MLH1	Adenocarcinoma of pancreas	C0281361	0.399	0.1	PAAD
MSH2	Adenocarcinoma of pancreas	C0281361	0.406	0.1	PAAD
MYCN	Adenocarcinoma of pancreas	C0281361	0.454	0.1	PAAD
NTHL1	Adenocarcinoma of pancreas	C0281361	0.623	0.1	PAAD
PMS1	Adenocarcinoma of pancreas	C0281361	0.569	0.1	PAAD
PMS2	Adenocarcinoma of pancreas	C0281361	0.484	0.1	PAAD
POLE	Adenocarcinoma of pancreas	C0281361	0.526	0.1	PAAD
CDKN2A	Pleural Mesothelioma	C1377913	0.3	0.03	MESO
ALK	Pleural Mesothelioma	C1377913	0.396	0.02	MESO
BST1	Pleural Mesothelioma	C1377913	0.67	0.02	MESO
EGFR	Pleural Mesothelioma	C1377913	0.295	0.02	MESO
BAP1	Pleural Mesothelioma	C1377913	0.454	0.02	MESO
MSLN	Pleural Mesothelioma	C1377913	0.525	0.02	MESO
AQP1	Pleural Mesothelioma	C1377913	0.467	0.01	MESO
CALB2	Pleural Mesothelioma	C1377913	0.545	0.01	MESO
CTLA4	Pleural Mesothelioma	C1377913	0.369	0.01	MESO
ESR2	Pleural Mesothelioma	C1377913	0.4	0.01	MESO
MTAP	Pleural Mesothelioma	C1377913	0.514	0.01	MESO
SPP1	Pleural Mesothelioma	C1377913	0.353	0.01	MESO
TNF	Pleural Mesothelioma	C1377913	0.231	0.01	MESO
TP53	Pleural Mesothelioma	C1377913	0.236	0.01	MESO
WT1	Pleural Mesothelioma	C1377913	0.422	0.01	MESO
CXCR4	Pleural Mesothelioma	C1377913	0.362	0.01	MESO
MBD2	Pleural Mesothelioma	C1377913	0.466	0.01	MESO
KDM6B	Pleural Mesothelioma	C1377913	0.514	0.01	MESO
H3P10	Pleural Mesothelioma	C1377913	0.35	0.01	MESO
AR	Adenocarcinoma of prostate	C0007112	0.351	0.6	PRAD
PTEN	Adenocarcinoma of prostate	C0007112	0.305	0.48	PRAD
BRAF	Adenocarcinoma of prostate	C0007112	0.319	0.43	PRAD
SPOP	Adenocarcinoma of prostate	C0007112	0.597	0.42	PRAD
AKT1	Adenocarcinoma of prostate	C0007112	0.311	0.34	PRAD
EGFR	Adenocarcinoma of prostate	C0007112	0.295	0.32	PRAD
MYC	Adenocarcinoma of prostate	C0007112	0.344	0.32	PRAD
KLF6	Adenocarcinoma of prostate	C0007112	0.501	0.31	PRAD
ATM	Adenocarcinoma of prostate	C0007112	0.374	0.3	PRAD
BRCA1	Adenocarcinoma of prostate	C0007112	0.367	0.3	PRAD
BRCA2	Adenocarcinoma of prostate	C0007112	0.379	0.3	PRAD
EPHB2	Adenocarcinoma of prostate	C0007112	0.374	0.3	PRAD
FANCA	Adenocarcinoma of prostate	C0007112	0.505	0.3	PRAD
HDAC2	Adenocarcinoma of prostate	C0007112	0.476	0.3	PRAD
FOXA1	Adenocarcinoma of prostate	C0007112	0.522	0.3	PRAD
MAP2K1	Adenocarcinoma of prostate	C0007112	0.439	0.3	PRAD
AURKA	Adenocarcinoma of prostate	C0007112	0.475	0.3	PRAD
AXIN1	Adenocarcinoma of prostate	C0007112	0.559	0.3	PRAD
MAD1L1	Adenocarcinoma of prostate	C0007112	0.57	0.3	PRAD
CHEK2	Adenocarcinoma of prostate	C0007112	0.46	0.3	PRAD
PALB2	Adenocarcinoma of prostate	C0007112	0.485	0.3	PRAD
KDR	Adenocarcinoma of prostate	C0007112	0.378	0.21	PRAD
CLU	Adenocarcinoma of prostate	C0007112	0.426	0.2	PRAD
IGF1R	Adenocarcinoma of prostate	C0007112	0.399	0.2	PRAD
PRKCQ	Adenocarcinoma of prostate	C0007112	0.636	0.2	PRAD
NRAS	Adenocarcinoma of rectum	C0149978	0.39	0.3	READ
TP53	Adenocarcinoma of rectum	C0149978	0.236	0.1	READ
KRAS	Adenocarcinoma of rectum	C0149978	0.32	0.06	READ
TYMS	Adenocarcinoma of rectum	C0149978	0.425	0.04	READ
APC	Adenocarcinoma of rectum	C0149978	0.373	0.02	READ
BCL2	Adenocarcinoma of rectum	C0149978	0.291	0.02	READ
CDKN1A	Adenocarcinoma of rectum	C0149978	0.403	0.02	READ
CEACAM5	Adenocarcinoma of rectum	C0149978	0.42	0.02	READ
EGFR	Adenocarcinoma of rectum	C0149978	0.295	0.02	READ
SLC12A9	Adenocarcinoma of rectum	C0149978	0.454	0.02	READ
MAGEB6	Adenocarcinoma of rectum	C0149978	0.76	0.02	READ
SNHG6	Adenocarcinoma of rectum	C0149978	0.633	0.02	READ
ADCY1	Adenocarcinoma of rectum	C0149978	0.659	0.01	READ
ALB	Adenocarcinoma of rectum	C0149978	0.317	0.01	READ
TNFRSF17	Adenocarcinoma of rectum	C0149978	0.588	0.01	READ
BRCA1	Adenocarcinoma of rectum	C0149978	0.367	0.01	READ
BRAF	Adenocarcinoma of rectum	C0149978	0.319	0.01	READ
BRCA2	Adenocarcinoma of rectum	C0149978	0.379	0.01	READ
CALCR	Adenocarcinoma of rectum	C0149978	0.464	0.01	READ
CALR	Adenocarcinoma of rectum	C0149978	0.413	0.01	READ
ENTPD1	Adenocarcinoma of rectum	C0149978	0.499	0.01	READ
CEACAM3	Adenocarcinoma of rectum	C0149978	0.494	0.01	READ
CEACAM7	Adenocarcinoma of rectum	C0149978	0.494	0.01	READ
CRP	Adenocarcinoma of rectum	C0149978	0.299	0.01	READ
CTSB	Adenocarcinoma of rectum	C0149978	0.457	0.01	READ
BAP1	Cutaneous Melanoma	C0151779	0.454	0.8	SKCM
CDKN2A	Cutaneous Melanoma	C0151779	0.3	0.7	SKCM
MITF	Cutaneous Melanoma	C0151779	0.499	0.63	SKCM
BRAF	Cutaneous Melanoma	C0151779	0.319	0.5	SKCM
CDK4	Cutaneous Melanoma	C0151779	0.412	0.5	SKCM
KIT	Cutaneous Melanoma	C0151779	0.366	0.5	SKCM
NRAS	Cutaneous Melanoma	C0151779	0.39	0.5	SKCM
TP53	Cutaneous Melanoma	C0151779	0.236	0.5	SKCM
XPC	Cutaneous Melanoma	C0151779	0.504	0.45	SKCM
PTEN	Cutaneous Melanoma	C0151779	0.305	0.44	SKCM
RAC1	Cutaneous Melanoma	C0151779	0.429	0.44	SKCM
RAF1	Cutaneous Melanoma	C0151779	0.418	0.44	SKCM
CTNNB1	Cutaneous Melanoma	C0151779	0.303	0.43	SKCM
GNA11	Cutaneous Melanoma	C0151779	0.563	0.43	SKCM
HRAS	Cutaneous Melanoma	C0151779	0.378	0.42	SKCM
PIK3CA	Cutaneous Melanoma	C0151779	0.292	0.41	SKCM
MAP2K2	Cutaneous Melanoma	C0151779	0.534	0.41	SKCM
ERCC3	Cutaneous Melanoma	C0151779	0.504	0.4	SKCM
PPP6C	Cutaneous Melanoma	C0151779	0.729	0.4	SKCM
MAP2K1	Cutaneous Melanoma	C0151779	0.439	0.4	SKCM
ERCC2	Cutaneous Melanoma	C0151779	0.42	0.36	SKCM
CCND1	Cutaneous Melanoma	C0151779	0.344	0.35	SKCM
RET	Cutaneous Melanoma	C0151779	0.392	0.33	SKCM
AKT1	Cutaneous Melanoma	C0151779	0.311	0.32	SKCM
ERCC4	Cutaneous Melanoma	C0151779	0.468	0.32	SKCM
CTNNB1	Gastric Adenocarcinoma	C0278701	0.303	0.44	STAD
ERBB3	Gastric Adenocarcinoma	C0278701	0.448	0.41	STAD
NRAS	Gastric Adenocarcinoma	C0278701	0.39	0.4	STAD
ROS1	Gastric Adenocarcinoma	C0278701	0.439	0.32	STAD
MAPK14	Gastric Adenocarcinoma	C0278701	0.379	0.31	STAD
EPHA2	Gastric Adenocarcinoma	C0278701	0.501	0.31	STAD
MLH1	Gastric Adenocarcinoma	C0278701	0.399	0.31	STAD
ACVR2A	Gastric Adenocarcinoma	C0278701	0.636	0.3	STAD
ATM	Gastric Adenocarcinoma	C0278701	0.374	0.3	STAD
AXL	Gastric Adenocarcinoma	C0278701	0.489	0.3	STAD
BMPR1A	Gastric Adenocarcinoma	C0278701	0.522	0.3	STAD
BMPR1B	Gastric Adenocarcinoma	C0278701	0.573	0.3	STAD
BRDT	Gastric Adenocarcinoma	C0278701	0.751	0.3	STAD
EPHA8	Gastric Adenocarcinoma	C0278701	0.686	0.3	STAD
EPHB1	Gastric Adenocarcinoma	C0278701	0.518	0.3	STAD
EPHB4	Gastric Adenocarcinoma	C0278701	0.524	0.3	STAD
ERN1	Gastric Adenocarcinoma	C0278701	0.513	0.3	STAD
GRK6	Gastric Adenocarcinoma	C0278701	0.67	0.3	STAD
INSR	Gastric Adenocarcinoma	C0278701	0.432	0.3	STAD
ITK	Gastric Adenocarcinoma	C0278701	0.555	0.3	STAD
JAK3	Gastric Adenocarcinoma	C0278701	0.505	0.3	STAD
MARK1	Gastric Adenocarcinoma	C0278701	0.663	0.3	STAD
MAP3K9	Gastric Adenocarcinoma	C0278701	0.711	0.3	STAD
NTRK3	Gastric Adenocarcinoma	C0278701	0.522	0.3	STAD
PDGFRB	Gastric Adenocarcinoma	C0278701	0.416	0.3	STAD
RET	Thyroid carcinoma	C0549473	0.392	0.8	THCA
BRAF	Thyroid carcinoma	C0549473	0.319	0.6	THCA
TP53	Thyroid carcinoma	C0549473	0.236	0.6	THCA
TSHR	Thyroid carcinoma	C0549473	0.486	0.6	THCA
KRAS	Thyroid carcinoma	C0549473	0.32	0.59	THCA
HRAS	Thyroid carcinoma	C0549473	0.378	0.56	THCA
PTEN	Thyroid carcinoma	C0549473	0.305	0.5	THCA
PRKAR1A	Thyroid carcinoma	C0549473	0.401	0.45	THCA
DICER1	Thyroid carcinoma	C0549473	0.446	0.45	THCA
CXCL8	Thyroid carcinoma	C0549473	0.31	0.4	THCA
PIK3CA	Thyroid carcinoma	C0549473	0.292	0.4	THCA
PPARG	Thyroid carcinoma	C0549473	0.358	0.4	THCA
SLC5A5	Thyroid carcinoma	C0549473	0.499	0.4	THCA
TERT	Thyroid carcinoma	C0549473	0.374	0.4	THCA
CCND1	Thyroid carcinoma	C0549473	0.344	0.38	THCA
MTOR	Thyroid carcinoma	C0549473	0.343	0.38	THCA
HIF1A	Thyroid carcinoma	C0549473	0.327	0.37	THCA
NCOA4	Thyroid carcinoma	C0549473	0.619	0.37	THCA
PTGS2	Thyroid carcinoma	C0549473	0.314	0.36	THCA
TNF	Thyroid carcinoma	C0549473	0.231	0.36	THCA
IL6	Thyroid carcinoma	C0549473	0.248	0.35	THCA
NRAS	Thyroid carcinoma	C0549473	0.39	0.35	THCA
RAP1GAP	Thyroid carcinoma	C0549473	0.626	0.34	THCA
TPM3	Thyroid carcinoma	C0549473	0.49	0.34	THCA
CDKN1B	Thyroid carcinoma	C0549473	0.409	0.33	THCA
MSH6	Endometrial Carcinoma	C0476089	0.462	0.8	UCEC
PTEN	Endometrial Carcinoma	C0476089	0.305	0.8	UCEC
CDH1	Endometrial Carcinoma	C0476089	0.401	0.7	UCEC
FGFR2	Endometrial Carcinoma	C0476089	0.38	0.7	UCEC
MLH1	Endometrial Carcinoma	C0476089	0.399	0.7	UCEC
MSH2	Endometrial Carcinoma	C0476089	0.406	0.7	UCEC
PMS2	Endometrial Carcinoma	C0476089	0.484	0.7	UCEC
POLD1	Endometrial Carcinoma	C0476089	0.507	0.69	UCEC
ESR1	Endometrial Carcinoma	C0476089	0.324	0.6	UCEC
SPOP	Endometrial Carcinoma	C0476089	0.597	0.57	UCEC
FBXW7	Endometrial Carcinoma	C0476089	0.465	0.57	UCEC
POLE	Endometrial Carcinoma	C0476089	0.526	0.5	UCEC
MSH3	Endometrial Carcinoma	C0476089	0.474	0.44	UCEC
MLH3	Endometrial Carcinoma	C0476089	0.582	0.41	UCEC
CCND1	Endometrial Carcinoma	C0476089	0.344	0.4	UCEC
CTNNB1	Endometrial Carcinoma	C0476089	0.303	0.4	UCEC
EGFR	Endometrial Carcinoma	C0476089	0.295	0.4	UCEC
ESR2	Endometrial Carcinoma	C0476089	0.4	0.4	UCEC
PGR	Endometrial Carcinoma	C0476089	0.426	0.4	UCEC
VEGFA	Endometrial Carcinoma	C0476089	0.266	0.4	UCEC
ARID1A	Endometrial Carcinoma	C0476089	0.455	0.4	UCEC
EZH2	Endometrial Carcinoma	C0476089	0.376	0.39	UCEC
MIR200C	Endometrial Carcinoma	C0476089	0.486	0.39	UCEC
ZEB1	Endometrial Carcinoma	C0476089	0.442	0.38	UCEC
IGF1R	Endometrial Carcinoma	C0476089	0.399	0.37	UCEC
