Model_name	TCGA_Type	CCLE_cBioPortal
SK-OV-3	OV	SKOV3_OVARY
SLVL	DLBC	NA
SN12C	KIRC	NA
SNB19	LGG	SNB19_CENTRAL_NERVOUS_SYSTEM
SNB75	GBM	NA
SNG-M	UCEC	SNGM_ENDOMETRIUM
SNG-P	UCEC	NA
SNU-1	STAD	SNU1_STOMACH
SNU-1033	READ	NA
SNU-1040	COAD	SNU1040_LARGE_INTESTINE
SNU-1041	HNSC	NA
SNU-1066	HNSC	NA
SNU-1076	HNSC	SNU1076_UPPER_AERODIGESTIVE_TRACT
SNU-1079	CHOL	SNU1079_BILIARY_TRACT
SNU-1196	CHOL	SNU1196_BILIARY_TRACT
SNU-1197	COAD	NA
SNU-1214	HNSC	SNU1214_UPPER_AERODIGESTIVE_TRACT
SNU-16	STAD	SNU16_STOMACH
SNU-175	COAD	SNU175_LARGE_INTESTINE
SNU-182	LIHC	SNU182_LIVER
SNU-201	GBM	SNU201_CENTRAL_NERVOUS_SYSTEM
SNU-245	CHOL	SNU245_BILIARY_TRACT
SNU-283	READ	SNU283_LARGE_INTESTINE
SNU-308	CHOL	SNU308_BILIARY_TRACT
SNU-387	LIHC	SNU387_LIVER
SNU-398	LIHC	SNU398_LIVER
SNU-407	COAD	SNU407_LARGE_INTESTINE
SNU-423	LIHC	SNU423_LIVER
SNU-449	LIHC	SNU449_LIVER
SNU-475	LIHC	SNU475_LIVER
SNU-478	CHOL	SNU478_BILIARY_TRACT
SNU-5	STAD	SNU5_STOMACH
SNU-503	READ	SNU503_LARGE_INTESTINE
SNU-61	READ	SNU61_LARGE_INTESTINE
SNU-81	COAD	SNU81_LARGE_INTESTINE
SNU-869	CHOL	NA
SNU-899	HNSC	SNU899_UPPER_AERODIGESTIVE_TRACT
SNU-C1	COAD	SNUC1_LARGE_INTESTINE
SNU-C2A	COAD	SNUC2A_LARGE_INTESTINE
SNU-C2B	COAD	NA
SNU-C4	COAD	SNUC4_LARGE_INTESTINE
SNU-C5	COAD	SNUC5_LARGE_INTESTINE
SSP-25	CHOL	NA
STS-0421	STAD	NA
SU8686	PAAD	SU8686_PANCREAS
SU-DHL-10	DLBC	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SU-DHL-16	DLBC	NA
SU-DHL-4	DLBC	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SU-DHL-5	DLBC	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SU-DHL-6	DLBC	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SU-DHL-8	DLBC	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUIT-2	PAAD	SUIT2_PANCREAS
SW1088	LGG	SW1088_CENTRAL_NERVOUS_SYSTEM
SW1116	COAD	SW1116_LARGE_INTESTINE
SW13	ACC	NA
SW1417	COAD	SW1417_LARGE_INTESTINE
SW1463	READ	SW1463_LARGE_INTESTINE
SW156	KIRC	NA
SW1573	LUAD	SW1573_LUNG
SW1710	BLCA	SW1710_URINARY_TRACT
SW1783	LGG	SW1783_CENTRAL_NERVOUS_SYSTEM
SW1990	PAAD	SW1990_PANCREAS
SW403	COAD	SW403_LARGE_INTESTINE
SW48	COAD	SW48_LARGE_INTESTINE
SW480	COAD	SW480_LARGE_INTESTINE
SW579	THCA	SW579_THYROID
SW620	COAD	SW620_LARGE_INTESTINE
SW626	COAD	NA
SW756	CESC	NA
SW780	BLCA	SW780_URINARY_TRACT
SW837	READ	SW837_LARGE_INTESTINE
SW900	LUSC	SW900_LUNG
SW948	COAD	SW948_LARGE_INTESTINE
T-24	BLCA	T24_URINARY_TRACT
T47D	BRCA	T47D_BREAST
T84	COAD	T84_LARGE_INTESTINE
T98G	GBM	T98G_CENTRAL_NERVOUS_SYSTEM
TCCSUP	BLCA	TCCSUP_URINARY_TRACT
TE-1	ESCA	TE1_OESOPHAGUS
TE-10	ESCA	TE10_OESOPHAGUS
TE-11	ESCA	TE11_OESOPHAGUS
TE-12	ESCA	NA
TE-13	ESCA	NA
TE-15	ESCA	TE15_OESOPHAGUS
TE-2	ESCA	NA
TE-3	ESCA	NA
TE-4	ESCA	TE4_OESOPHAGUS
TE-5	ESCA	TE5_OESOPHAGUS
TE-6	ESCA	TE6_OESOPHAGUS
TE-7	ESCA	NA
TE-8	ESCA	TE8_OESOPHAGUS
TE-9	ESCA	TE9_OESOPHAGUS
TGBC11TKB	STAD	TGBC11TKB_STOMACH
TGBC1TKB	CHOL	NA
TGBC24TKB	CHOL	NA
TGBC2TKB	CHOL	NA
THP-1	LAML	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TK	DLBC	NA
TK10	KIRC	NA
TMH-1	THCA	NA
TMK-1	STAD	NA
TOV-112D	OV	TOV112D_OVARY
TOV-21G	OV	TOV21G_OVARY
TT	THCA	TT_THYROID
TT	THCA	TT_OESOPHAGUS
T-T	ESCA	TT_THYROID
T-T	ESCA	TT_OESOPHAGUS
TT2609-C02	THCA	TT2609C02_THYROID
TUR	LAML	NA
TYK-nu	OV	TYKNU_OVARY
U031	KIRC	NA
U-118-MG	LGG	U118MG_CENTRAL_NERVOUS_SYSTEM
U-138-MG	GBM	U138MG_CENTRAL_NERVOUS_SYSTEM
U251	LGG	NA
U-698-M	DLBC	NA
U-87-MG	GBM	U87MG_CENTRAL_NERVOUS_SYSTEM
U-937	LAML	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
UACC-257	SKCM	UACC257_SKIN
UACC-62	SKCM	UACC62_SKIN
UACC-812	BRCA	UACC812_BREAST
UACC-893	BRCA	UACC893_BREAST
UDSCC2	HNSC	NA
UM-UC-3	BLCA	UMUC3_URINARY_TRACT
UWB1.289	OV	NA
VAL	DLBC	NA
VCaP	PRAD	VCAP_PROSTATE
VM-CUB-1	BLCA	VMCUB1_URINARY_TRACT
VMRC-LCD	LUAD	NA
VMRC-MELG	SKCM	NA
VMRC-RCW	KIRC	VMRCRCW_KIDNEY
VMRC-RCZ	KIRC	VMRCRCZ_KIDNEY
WM-115	SKCM	WM115_SKIN
WM1552C	SKCM	NA
WM-164	SKCM	NA
WM-165-1	SKCM	NA
WM-266-4	SKCM	WM2664_SKIN
WM278	SKCM	NA
WM-293A	SKCM	NA
WM35	SKCM	NA
WM793B	SKCM	NA
WSU-DLCL2	DLBC	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
WSU-NHL	DLBC	NA
YAPC	PAAD	YAPC_PANCREAS
YH-13	GBM	YH13_CENTRAL_NERVOUS_SYSTEM
YKG-1	GBM	YKG1_CENTRAL_NERVOUS_SYSTEM
YMB-1	BRCA	YMB1_BREAST
YMB-1-E	BRCA	NA
ZR-75-1	BRCA	ZR751_BREAST
ZR-75-30	BRCA	ZR7530_BREAST
